X_FE14001_Dimapur_1306004_Dimapur_Rice	29.15
X_FE14001_Dimapur_1306005_Dimapur_Rice	15.1
X_FE14001_Dimapur_1311003_Peren_Rice	706.85
X_FE14001_Dimapur_1311005_Peren_Rice	510.05
X_FE14003_Tuensang_1301005_Mon_Rice	279.15
X_FE14003_Tuensang_1301011_Mon_Rice	486.9
X_FE14003_Tuensang_1304010_Zunheboto_Rice	32.4
X_FE14003_Tuensang_1310001_Kiphire_Rice	1810.65
X_FE14003_Tuensang_1310003_Kiphire_Rice	1018.95
X_FE14003_Tuensang_1310004_Kiphire_Rice	285.0
X_FE14003_Tuensang_1310005_Kiphire_Rice	487.75
X_FE14004_Mon_1301001_Mon_Rice	697.0
X_FE14004_Mon_1301002_Mon_Rice	751.75
X_FE14004_Mon_1301003_Mon_Rice	1294.45
X_FE14004_Mon_1301004_Mon_Rice	198.85
X_FE14004_Mon_1301006_Mon_Rice	798.5
X_FE14004_Mon_1301008_Mon_Rice	291.6
X_FE14004_Mon_1301009_Mon_Rice	1997.95
X_FE14004_Mon_1301010_Mon_Rice	795.35
X_FE14004_Mon_1301012_Mon_Rice	647.55
X_FE14004_Mon_1309004_Longleng_Rice	4.4
X_FE14005_Dimapur_1305003_Wokha_Rice	17.0
X_FE14005_Dimapur_1306001_Dimapur_Rice	14.05
X_FE14006_Kohima_1307001_Kohima_Rice	5800.85
X_FE14006_Kohima_1307002_Kohima_Rice	954.95
X_FE14006_Kohima_1307003_Kohima_Rice	698.45
X_FE14006_Kohima_1308002_Phek_Rice	1091.4
X_FE14006_Kohima_1308003_Phek_Rice	497.25
X_FE14006_Kohima_1308004_Phek_Rice	228.85
X_FE14006_Kohima_1308005_Phek_Rice	1352.6
X_FE14006_Kohima_1308006_Phek_Rice	185.0
X_FE14006_Kohima_1308007_Phek_Rice	373.1
X_FE14006_Kohima_1308008_Phek_Rice	999.75
X_FE14006_Kohima_1308009_Phek_Rice	998.7
X_FE14006_Kohima_1311001_Peren_Rice	1169.05
X_FE14006_Kohima_1311002_Peren_Rice	431.8
X_FE14006_Kohima_1311004_Peren_Rice	220.85
Y_FE14001_Dimapur_1306004_Dimapur_FRice	848.45
Y_FE14001_Dimapur_1306005_Dimapur_FRice	1482.352
Y_FE14001_Dimapur_1311003_Peren_FRice	128.95
Y_FE14001_Dimapur_1311005_Peren_FRice	89.6
Y_FE14002_Mokokchung_1302002_Tuensang_FRice	398.55
Y_FE14002_Mokokchung_1303001_Wokha_FRice	2927.2
Y_FE14002_Mokokchung_1303002_Mokokchung_FRice	497.05
Y_FE14002_Mokokchung_1303003_Mokokchung_FRice	700.0
